game,market,player,line,odds_over,odds_under
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,Jeremiah Fears,21.5,-106.0,-125.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,Derik Queen,17.5,-128.0,-104.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,Jose Alvarado,11.5,-118.0,-112.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,Herbert Jones,10.5,-125.0,-106.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,Stephon Castle,19.5,-120.0,-110.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,De'Aaron Fox,9.5,-140.0,110.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Dylan Harper,6.5,100.0,-128.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Harrison Barnes,5.5,-102.0,-125.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Luke Kornet,9.5,-111.0,-115.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Trey Murphy III,9.5,102.0,-130.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Saddiq Bey,8.5,-120.0,-106.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Jeremiah Fears,7.5,-122.0,-104.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Derik Queen,11.5,102.0,-130.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Jose Alvarado,5.5,-113.0,-113.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Herbert Jones,4.5,-125.0,-102.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,Stephon Castle,9.5,-113.0,-113.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,44.5,selection unavailable,,-1100.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,45.5,selection unavailable,,-1450.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,42.5,selection unavailable,,-1100.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,35.5,selection unavailable,,-1100.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,36.5,selection unavailable,,-1450.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,34.5,selection unavailable,,-1100.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points rebounds assists,35.5,selection unavailable,,-1400.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,34.5,selection unavailable,,-1000.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,35.5,selection unavailable,,-1400.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,points assists,29.5,selection unavailable,,-1000.0
san-antonio-spurs-@-new-orleans-pelicans-35036254,rebounds assists,15.5,selection unavailable,,-700.0
sacramento-kings-@-indiana-pacers-35036255,player assists,O 2.5,2.5,+134,-180
sacramento-kings-@-indiana-pacers-35036255,player assists,O 4.5,4.5,+100,-132
sacramento-kings-@-indiana-pacers-35036255,player assists,O 6.5,6.5,-148,+112
sacramento-kings-@-indiana-pacers-35036255,player assists,O 3.5,3.5,+144,-194
sacramento-kings-@-indiana-pacers-35036255,player assists,O 8.5,8.5,+102,-136
sacramento-kings-@-indiana-pacers-35036255,player assists,O 4.5,4.5,-122,-108
sacramento-kings-@-indiana-pacers-35036255,player assists,O 1.5,1.5,-160,+120
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 5.5,5.5,-150,+118
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 3.5,3.5,-102,-125
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 1.5,1.5,-142,+112
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 2.5,2.5,+124,-160
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 3.5,3.5,-132,+104
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 3.5,3.5,-136,+106
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 4.5,4.5,+124,-160
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 2.5,2.5,-166,+130
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 5.5,5.5,-113,-113
san-antonio-spurs-@-new-orleans-pelicans-35036254,player assists,O 1.5,1.5,-113,-113
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 2.5,2.5,-122,-108
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 5.5,5.5,-114,-114
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 2.5,2.5,-205,+152
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 3.5,3.5,-104,-128
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 5.5,5.5,-152,+114
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 2.5,2.5,-192,+142
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 3.5,3.5,-182,+136
phoenix-suns-@-minnesota-timberwolves-35036256,player assists,O 2.5,2.5,-118,-112
